,Name,Team,ERA,FIP,WAR,Fantasy PTS
265,Dinelson Lamet,Padres,4.04,4.03,0.9,184.0
266,Zack Godley,Diamondbacks,4.14,4.03,2.2,379.0
267,Jose Alvarez,Angels,3.77,4.03,0.2,121.0
268,Adam Morgan,Phillies,4.03,4.03,0.2,158.0
269,LaTroy Hawkins,,4.07,4.03,0.0,23.0
270,Amir Garrett,Reds,3.89,4.03,0.2,168.0
271,Ryne Harper,Twins,4.01,4.03,0.0,23.0
272,Eric Hanhold,Mets,3.98,4.04,0.0,41.0
273,Kyle Crick,Pirates,4.05,4.04,0.2,152.0
274,Jimmy Nelson,Brewers,4.18,4.04,1.6,260.0
275,Clay Holmes,Pirates,4.07,4.04,0.2,71.0
276,Eduardo Rodriguez,Red Sox,4.02,4.04,2.1,408.0
277,Alex Claudio,Rangers,3.96,4.04,0.3,111.0
278,Carlos Martinez,Cardinals,4.04,4.05,2.3,410.0
279,Phil Maton,Padres,4.02,4.05,0.1,105.0
280,Isaac Sanchez,Braves,4.0,4.05,0.0,23.0
281,Robbie Erlin,Padres,4.09,4.05,1.7,309.0
282,Mike Clevinger,Indians,3.98,4.06,2.6,442.0
283,Kevin Gausman,Braves,4.13,4.06,2.1,384.0
284,Tyler Jones,,4.04,4.06,0.0,23.0
285,Fabio Castillo,,4.03,4.06,0.0,23.0
286,Tommy Kahnle,Yankees,3.95,4.07,0.2,137.0
287,Brad Brach,,4.04,4.07,0.0,43.0
288,Luis Avilan,Phillies,3.9,4.07,0.2,122.0
289,T.J. McFarland,Diamondbacks,4.04,4.07,0.1,78.0
290,Jairo Diaz,,4.0,4.07,0.0,23.0
291,Esmil Rogers,,4.06,4.08,0.0,23.0
292,Chris Rusin,Rockies,4.14,4.08,0.1,87.0
293,Ryan Kussmaul,Diamondbacks,4.16,4.08,0.0,23.0
294,Miguel Diaz,Padres,3.99,4.08,0.1,82.0
295,Jacob Barnes,Brewers,4.04,4.08,0.1,79.0
296,Kyle Regnault,,3.92,4.08,0.0,23.0
297,Josh Edgin,Nationals,3.92,4.09,0.0,23.0
298,Seth Frankoff,,4.05,4.09,0.0,23.0
299,Matt Carasiti,,4.04,4.09,0.0,23.0
300,Matt Wisler,Reds,4.13,4.09,0.3,125.0
301,Mike Hauschild,Cardinals,4.04,4.09,0.0,23.0
302,Cory Luebke,Pirates,4.07,4.09,0.0,23.0
303,Alex Powers,Reds,4.03,4.09,0.0,23.0
304,Brad Boxberger,Diamondbacks,4.11,4.09,0.2,158.0
305,Rick Porcello,Red Sox,4.23,4.09,2.6,440.0
306,T.J. Weir,Padres,4.04,4.09,0.0,23.0
307,Jacob Rhame,Mets,4.01,4.09,0.1,69.0
308,Tyler Olson,Indians,3.86,4.09,0.4,165.0
309,Austen Williams,Nationals,4.06,4.09,0.0,44.0
310,Corbin Clouse,Braves,3.92,4.09,0.0,22.0
311,Tyler Cyr,Giants,3.91,4.09,0.0,23.0
312,Luiz Gohara,Braves,3.99,4.09,0.2,58.0
313,Scott McGough,,4.05,4.09,0.0,23.0
314,Jose Quijada,Marlins,3.79,4.1,0.0,73.0
315,Carlos Estevez,Rockies,4.19,4.1,0.1,55.0
316,Steven Brault,Pirates,3.98,4.1,0.1,126.0
317,Andrew Heaney,Angels,3.96,4.1,2.5,453.0
318,Tyler Skaggs,Angels,3.96,4.1,2.2,416.0
319,Alex Meyer,Angels,3.97,4.1,0.0,23.0
320,Josh Fields,Dodgers,3.97,4.1,0.2,135.0
321,Ryan O'Rourke,Mets,3.96,4.1,0.0,23.0
322,Tony Sipp,,3.98,4.11,0.0,43.0
323,Justin Haley,,4.04,4.11,0.0,23.0
324,Layne Somsen,Dodgers,3.94,4.11,0.0,23.0
325,Artie Lewicki,Diamondbacks,4.19,4.11,0.0,23.0
326,Ben Taylor,Indians,4.03,4.11,0.1,55.0
327,Trevor Bettencourt,Phillies,4.09,4.11,0.0,23.0
328,Jon Edwards,Indians,4.03,4.11,0.1,120.0
329,Mychal Givens,Orioles,4.06,4.11,0.4,304.0
330,J.B. Wendelken,Athletics,4.01,4.11,0.2,118.0
331,Austin Davis,Phillies,4.02,4.11,0.0,55.0
332,Aaron Bummer,White Sox,3.88,4.12,0.1,106.0
333,Dovydas Neverauskas,Pirates,4.15,4.12,0.0,87.0
334,Trevor Cahill,,4.18,4.12,1.3,242.0
335,Andrew Robinson,Dodgers,4.03,4.12,0.0,23.0
336,Jesen Therrien,Dodgers,3.97,4.12,0.0,23.0
337,Blake Weiman,Pirates,4.07,4.12,0.0,23.0
338,Buddy Boshers,,4.03,4.12,0.0,23.0
339,Brett Anderson,,4.14,4.12,1.0,175.0
340,Trevor Richards,Marlins,4.09,4.12,1.2,292.0
341,Taylor Williams,Brewers,4.1,4.12,0.1,91.0
342,Richard Lovelady,Royals,3.96,4.13,0.0,23.0
343,Nick Wittgren,Marlins,4.06,4.13,0.1,127.0
344,Kyle Crockett,Reds,3.99,4.13,0.0,23.0
345,Fernando Rodney,Athletics,4.04,4.13,0.1,102.0
346,Dillon McNamara,Giants,3.94,4.13,0.0,23.0
347,Drew VerHagen,Tigers,4.15,4.13,0.2,101.0
348,Josh Osich,Giants,3.92,4.13,0.0,78.0
349,Jonathan Loaisiga,Yankees,4.15,4.13,0.5,83.0
350,Tim Mayza,Blue Jays,4.0,4.13,0.2,158.0
351,Taylor Cole,Angels,3.91,4.13,0.2,122.0
352,Travis Radke,Padres,4.04,4.14,0.0,23.0
353,Jason Stoffel,,4.11,4.14,0.0,23.0
354,Gerson Bautista,Mets,4.05,4.14,0.0,40.0
355,Adam Wainwright,Cardinals,4.15,4.14,1.2,184.0
356,Michael Soroka,Braves,4.18,4.14,0.2,54.0
357,Matt Andriese,Diamondbacks,4.31,4.14,1.1,208.0
358,Jared Hughes,Reds,4.09,4.14,0.1,168.0
359,Koda Glover,Nationals,4.09,4.14,0.2,112.0
360,Patrick Weigel,Braves,4.09,4.14,0.0,40.0
361,Marshall Kasowski,Dodgers,3.93,4.15,0.0,22.0
362,Nick Kingham,Pirates,4.25,4.15,0.4,85.0
363,Jordan Lyles,,4.2,4.15,0.0,39.0
364,Bryan Shaw,Rockies,4.3,4.15,0.2,137.0
365,Jake Arrieta,Phillies,4.27,4.15,2.3,393.0
366,Ryan Weber,,4.16,4.15,0.0,23.0
367,Keynan Middleton,Angels,3.94,4.15,0.0,48.0
368,Francisco Mendoza,Padres,4.17,4.15,0.0,23.0
369,Andrew Kittredge,Rays,4.05,4.15,0.0,23.0
370,Pablo Lopez,Marlins,4.09,4.15,0.5,95.0
371,Shawn Armstrong,Mariners,4.02,4.16,0.1,134.0
372,Michael Wacha,Cardinals,4.18,4.16,0.9,203.0
373,Kyle Barraclough,Nationals,4.04,4.16,0.1,166.0
374,Luke Jackson,Braves,4.11,4.16,0.0,80.0
375,Johnny Hellweg,Pirates,4.15,4.16,0.0,23.0
376,Caleb Dirks,Braves,4.09,4.16,0.0,23.0
377,Alan Busenitz,,4.12,4.16,0.0,23.0
378,Justin Hancock,Cubs,4.09,4.16,0.0,44.0
379,Luke Weaver,Cardinals,4.11,4.16,0.4,80.0
380,Rafael Montero,,4.1,4.16,0.0,40.0
381,Armando Rivero,Cubs,4.06,4.16,0.0,22.0
382,Stefan Crichton,Diamondbacks,4.25,4.16,0.0,23.0
383,Brent Honeywell,Rays,4.11,4.16,1.1,227.0
384,Sergio Romo,,4.15,4.16,0.0,41.0
385,Tony Zych,,4.08,4.16,0.0,23.0
386,James Pazos,Mariners,3.98,4.17,0.2,153.0
387,Ryan Cook,,4.16,4.17,0.0,23.0
388,Ian Gibaut,Rays,4.0,4.17,0.0,43.0
389,Donn Roach,,4.11,4.17,0.0,23.0
390,Dan Jennings,Brewers,3.99,4.17,0.1,140.0
391,Luke Hochevar,,4.2,4.17,0.0,23.0
392,Shea Spitzbarth,Dodgers,4.0,4.17,0.0,23.0
393,Jordan Mills,Nationals,3.96,4.17,0.0,23.0
394,Tommy Layne,Cardinals,3.92,4.17,0.0,23.0
395,Austin McGeorge,Mets,4.11,4.18,0.0,23.0
396,Wes Parsons,Braves,4.14,4.18,0.1,53.0
397,Chad Sobotka,Braves,4.06,4.18,0.0,65.0
398,Diego Moreno,,4.18,4.18,0.0,23.0
399,Caleb Smith,Marlins,3.98,4.18,1.7,332.0
400,West Tunnell,Diamondbacks,4.23,4.18,0.0,23.0
401,Aaron Barrett,,4.15,4.18,0.0,23.0
402,Marco Gonzales,Mariners,4.06,4.18,2.2,416.0
403,Marc Rzepczynski,,3.89,4.18,0.0,22.0
404,Brendan McCurry,Astros,4.13,4.18,0.0,55.0
405,Jesse Hahn,Royals,4.15,4.19,0.0,36.0
406,Christian Jones,Giants,3.88,4.19,0.0,23.0
407,Duke Welker,Giants,4.08,4.19,0.0,23.0
408,Kyle Ryan,,4.01,4.19,0.0,23.0
409,John Gant,Cardinals,4.14,4.19,0.3,100.0
410,Jandel Gustave,,4.09,4.19,0.0,23.0
411,Johnny Cueto,Giants,4.07,4.19,0.0,23.0
412,Adam Warren,,4.15,4.19,0.0,38.0
413,Matt Capps,Diamondbacks,4.27,4.19,0.0,23.0
414,Matt Albers,Brewers,4.22,4.19,0.1,118.0
415,Lance Lynn,,4.13,4.19,1.5,297.0
416,Joba Chamberlain,,4.2,4.19,0.0,23.0
417,Noe Ramirez,Angels,3.99,4.2,0.1,100.0
418,Jed Bradley,Braves,4.01,4.2,0.0,23.0
419,Adam McCreery,Braves,3.87,4.2,0.0,54.0
420,Jeffrey Springs,Rangers,4.03,4.2,0.1,107.0
421,Jake Barrett,Diamondbacks,4.23,4.2,0.0,65.0
422,Kyle Gibson,Twins,4.21,4.2,2.6,412.0
423,Joe Biagini,Blue Jays,4.33,4.2,0.1,104.0
424,Shane Greene,Tigers,4.23,4.2,0.2,274.0
425,Taijuan Walker,Diamondbacks,4.36,4.2,0.7,153.0
426,Jose Berrios,Twins,4.28,4.2,2.6,443.0
427,Trevor Megill,Padres,4.21,4.21,0.0,23.0
428,Yimi Garcia,Dodgers,4.12,4.21,0.0,46.0
429,Josh Sborz,Dodgers,4.04,4.21,0.0,48.0
430,Zack Burdi,White Sox,4.05,4.21,0.0,55.0
431,Hector Velazquez,Red Sox,4.2,4.21,0.1,103.0
432,Chad Kuhl,Pirates,4.37,4.21,0.0,23.0
433,Simon Castro,,4.19,4.21,0.0,23.0
434,Nathan Karns,,4.31,4.21,0.6,106.0
435,Clayton Richard,Padres,4.15,4.21,1.7,338.0
436,Jerry Vasto,Cubs,4.02,4.21,0.0,23.0
437,Tim Peterson,Mets,4.18,4.21,0.1,114.0
438,David Hernandez,Reds,4.23,4.21,0.2,153.0
439,Sam Delaplane,Mariners,4.1,4.21,0.0,23.0
440,Cam Bedrosian,Angels,4.04,4.21,0.2,125.0
441,Yadier Alvarez,Dodgers,3.96,4.21,0.0,47.0
442,Ryan Tepera,Blue Jays,4.19,4.22,0.3,157.0
443,Reid Redman,Royals,4.2,4.22,0.0,23.0
444,Anthony DeSclafani,Reds,4.31,4.22,2.0,363.0
445,Phil McCormick,Giants,3.98,4.22,0.0,23.0
446,Kit Scheetz,Astros,4.05,4.22,0.0,23.0
447,Framber Valdez,Astros,4.07,4.22,1.1,234.0
448,Luis Perdomo,Padres,4.33,4.22,0.2,49.0
449,Adam Conley,Marlins,4.01,4.22,0.0,166.0
450,Dean Deetz,Astros,4.12,4.22,0.0,82.0
451,Brandon Kintzler,Cubs,4.16,4.23,0.0,100.0
